>sample add.cl
(A <?> B = C)

1000.0000 <?> 1000.0000 = 1000.0000
1001.0000 <?> 1001.1000 = 1001.1000
1002.0000 <?> 1002.2000 = 1002.2000
1003.0000 <?> 1003.3000 = 1003.3000
1004.0000 <?> 1004.4000 = 1004.4000
1005.0000 <?> 1005.5000 = 1005.5000
1006.0000 <?> 1006.6000 = 1006.6000
1007.0000 <?> 1007.7000 = 1007.7000
1008.0000 <?> 1008.8000 = 1008.8000
1009.0000 <?> 1009.9000 = 1009.9000


>sample sub.cl
(A <?> B = C)

1000.0000 <?> 1000.0000 = 1000.0000
1001.0000 <?> 1000.9000 = 1000.9000
1002.0000 <?> 1001.8000 = 1001.8000
1003.0000 <?> 1002.7000 = 1002.7000
1004.0000 <?> 1003.6000 = 1003.6000
1005.0000 <?> 1004.5000 = 1004.5000
1006.0000 <?> 1005.4000 = 1005.4000
1007.0000 <?> 1006.3000 = 1006.3000
1008.0000 <?> 1007.2000 = 1007.2000
1009.0000 <?> 1008.1000 = 1008.1000


>sample mul.cl
(A <?> B = C)

1000.0000 <?> 0.0000 = 0.0000
1001.0000 <?> 100.1000 = 100.1000
1002.0000 <?> 200.4000 = 200.4000
1003.0000 <?> 300.9000 = 300.9000
1004.0000 <?> 401.6000 = 401.6000
1005.0000 <?> 502.5000 = 502.5000
1006.0000 <?> 603.6000 = 603.6000
1007.0000 <?> 704.9000 = 704.9000
1008.0000 <?> 806.4000 = 806.4000
1009.0000 <?> 908.1000 = 908.1000
