     0,      0
     0,      0
     0,      0
     0,      0
     0,      0
     0,      0
     0,      0
     0,      0
     0,      0
  -261,   -794
   625,  -1409
  -306,  -1916
  -872,  -1833
   604,  -2222
  1139,   -874
  1440,   -636
  1612,   -971
   780,   -897
  1311,  -1589
   453,  -2669
  -465,  -1901
  -419,   -818
  1282,   -627
   633,  -1940
  1410,  -2504
  1677,  -2045
  1077,  -1530
   946,  -1094
   508,   -279
  1624,    375
  1476,  -1393
  1893,  -1360
   491,  -2380
   317,   -411
   -58,   -664
  1115,  -1067
  1402,  -1473
  1129,  -2080
  1638,  -2022
  1431,  -2480
  1500,  -1639
  1012,  -1070
  1076,    328
  1300,  -1649
   602,   -608
    84,      8
  -845,   -676
  -534,   -133
  -521,    332
  -140,   1200
  -127,   1815
  -937,   1664
  -677,    217
  -680,   1001
  -850,   -360
 -1396,    235
  -202,   2117
  -854,   2897
  -525,   2610
  -580,   2516
   298,   2488
  1233,   2332
  1434,   2521
  1077,   3363
  1465,   4185
  1541,   4332
   194,   3499
  1439,   2929
   678,   2111
  -515,   1367
  -366,   -183
   544,  -1578
    58,  -1102
  1518,  -2575
  1393,  -2717
  1198,  -2630
  1404,  -3168
   761,  -2492
  1409,  -1512
  2114,  -1058
   663,    446
  -686,   1285
   330,   1419
  -995,   1447
 -1554,   2186
 -1622,   2060
 -1807,   3254
  -630,   2919
  -484,   2301
 -1411,   2060
 -1381,   1971
  -158,   2109
 -1216,   1480
  -356,   2695
    76,   2723
  -344,   2492
   334,   2489
   319,   2807
 -1254,   3489
  -411,   3840
  -301,   3059
  -632,   2520
   605,   3738
   -22,   2795
   817,   1430
  2335,    658
  2575,   -592
  1668,  -1940
  2957,  -1537
  3607,   -639
  3982,    246
  2879,   -290
  2731,   -160
  3008,    800
  2801,   1319
  2422,   1586
  1780,   1669
   951,   3114
   -77,   1630
 -1730,   1002
